product_id_placeholder,product_guid,user_guid_fk,user_id_placeholder_fk,category_id_placeholder_fk,condition,original_price,is_active,created_at,category_guid_fk,updated_at,title,description
1,prod-1a28bbb8,usr-8f940196,1,1,poor,105.18719263984336,1,2023-05-05,cat-9caa1efa,2023-05-05,"""Stainless Steel 250mL Beaker with Spout""","The Stainless Steel 250mL Beaker with Spout offers precise measurements and easy pouring, with a durable stainless-steel construction for long-lasting use in laboratory or industrial settings."
1,prod-3f59c8eb,usr-cf2a6e29,1,1,new,1234.7958467869387,1,2023-10-03,cat-2fefc4f6,2023-10-03,Nike Air Zoom Pegasus 38 Running Shoes - Men's,"Experience unmatched cushioning and responsiveness with the Nike Air Zoom Pegasus 38 Running Shoes, featuring Air Zoom units and a breathable mesh upper for a smooth, comfortable ride."
1,prod-5fdd4c19,usr-b4b12cc2,1,1,good,301.43163487809966,1,2023-07-19,cat-4baa47a8,2023-07-19,Fender Player Stratocaster Electric Guitar,"The Fender Player Stratocaster Electric Guitar delivers versatile tone with three Player Series Alnico 5 single-coil pickups, and offers smooth, comfortable playability with a modern ""C"" shaped maple neck."
1,prod-9f3b4137,usr-7e8b25eb,1,1,good,431.51944911143477,1,2023-09-10,cat-03e09707,2023-09-10,"Vintage 1960s Pablo Picasso Lithograph ""La Colombe""","Own a piece of art history with this vintage 1960s Pablo Picasso lithograph, ""La Colombe,"" featuring the artist's iconic dove motif, a symbol of peace. This original lithograph is a rare and valuable addition to any fine art collection."
1,prod-c740a243,usr-1e88f33b,1,1,like_new,577.0206061995029,1,2023-04-16,cat-c9996c8c,2023-04-16,Radiant Glow Peach & Nectar Face Cream 50ml,"Radiant Glow Peach & Nectar Face Cream is a 50ml moisturizer designed to hydrate and illuminate the skin, with a blend of peach and nectar extracts to promote a natural, healthy glow."
1,prod-359317d8,usr-f5ef4dc4,1,1,like_new,1354.6325904568166,1,2023-07-25,cat-5e2de2ea,2023-07-25,Samsung Galaxy Buds2 Bluetooth Earbuds - Graphite,"Experience immersive sound with the Samsung Galaxy Buds2 Bluetooth Earbuds in Graphite, featuring Active Noise Cancellation and up to 20 hours of playtime with the charging case. Enjoy seamless connectivity with your Samsung devices."
1,prod-ec954ade,usr-3aab52ef,1,1,poor,19.866574830203394,1,2023-07-14,cat-f49f60d3,2023-07-14,Mid-Century Modern Teak Wood Coffee Table,The Mid-Century Modern Teak Wood Coffee Table brings timeless elegance to your space with its sturdy teak wood construction and iconic design. Its sleek lines and ample surface make it both a stylish statement and a functional addition to your living room.
1,prod-3a73a52e,usr-04ed2095,1,1,like_new,232.88349211352838,1,2023-01-30,cat-03e09707,2023-01-30,Vintage 1960s Movie Poster: Breakfast at Tiffany's,"Capture a piece of cinematic history with this authentic 1960s movie poster for 'Breakfast at Tiffany's', featuring Audrey Hepburn's iconic style and the timeless appeal of Truman Capote's screenplay. This vintage original is a must-have for any movie enthusiast or collector."
1,prod-ffa8f4f3,usr-54f907d6,1,1,new,124.7762600767009,1,2023-07-02,cat-2fefc4f6,2023-07-02,**Nike Men's Air Zoom Pegasus 38 Running Shoes**,"Experience responsive cushioning and lightweight durability with the Nike Men's Air Zoom Pegasus 38 Running Shoes, designed for a smooth, fast ride with a responsive ride."
1,prod-8ee1fcb8,usr-4cec6433,1,1,fair,1349.1796137226556,0,2023-11-04,cat-4baa47a8,2023-11-04,"Fender Player Stratocaster Electric Guitar, Maple Fingerboard, Lake Placid Blue","Experience the iconic Stratocaster sound with the Fender Player Stratocaster in Lake Placid Blue, featuring a smooth maple fingerboard and versatile player-friendly features."
1,prod-9b491404,usr-cb71bb86,1,1,poor,404.36605230798455,1,2023-10-17,cat-678a5677,2023-10-17,Hand-Painted Whimsical Ceramic Mug,"Experience a touch of whimsy with every sip from this Hand-Painted Ceramic Mug, a unique, artisanal piece where no two are alike. The hand-painted design ensures you'll have a one-of-a-kind mug that adds a playful charm to your morning routine."
1,prod-9b225188,usr-81801aa9,1,1,good,465.0703050547386,1,2023-12-03,cat-5289454d,2023-12-03,"""Cyberpunk 2077: Digital Edition""","Experience the future of storytelling with ""Cyberpunk 2077: Digital Edition,"" an immersive, open-world RPG set in a dystopian metropolis, featuring a gripping narrative and a richly detailed world to explore."
